Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"43189-1","Disney","Storybook Adventures",2021,"Elsa and the Nokk Storybook Adventures",5,125,17.99,19.99,24.99,19.99,5702016909159,,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.7800,,"01/01/2021","31/12/2023"
"71775-1","Ninjago","Crystalized",2022,"Nya's Samurai X MECH",8,1003,104.99,119.99,149.99,119.99,5702017152073,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,95.1200,,"01/06/2022","31/12/2023"
"40654-1","Creator","Postcard",2022,"Beijing Postcard",,274,13.49,14.99,18.99,14.99,5702017367545,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,20.5100,,"01/07/2022","31/12/2024"
"41714-1","Friends","Heartlake City",2022,"Andrea's Theatre School",4,1154,89.99,99.99,129.99,99.99,5702017154138,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,72.4100,,"01/06/2022","31/12/2023"
"76944-1","Jurassic World","Dominion",2022,"T. rex Dinosaur Breakout",3,140,44.99,49.99,64.99,49.99,5702016913439,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,36.1800,,"17/04/2022","31/12/2024"
"10874-1","Duplo","Trains",2018,"Steam Train",2,59,59.99,64.99,84.99,64.99,5702016117264,673419284028,48,37.8,9.4,1.5,"",0,0,0,,0,0,,,,,,,,,55.3400,35.2700,"01/06/2018","31/07/2024"
"42140-1","Technic","",2022,"App-Controlled Transformation Vehicle",,772,129.99,149.99,199.99,149.99,5702017155784,,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,112.9200,99.3700,"01/03/2022","31/12/2023"
"76243-1","Marvel Super Heroes","Mechs",2023,"Rocket Mech Armor",,98,12.99,14.99,19.99,14.99,,,14.1,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,12.4100,,"01/01/2023","31/12/2023"
"60319-1","City","Fire",2022,"Fire Rescue & Police Chase",3,295,24.99,39.99,49.99,29.99,5702017161037,,28.2,26.2,5.9,0.571,"",0,0,0,,0,0,,,,,,,,,21.7600,,"01/01/2022","31/12/2023"
"40644-1","Seasonal","Birthday",2023,"Piñata",,206,8.99,9.99,12.99,9.99,,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,15.4400,,"01/01/2023","31/12/2026"
"10777-1","Disney","Mickey and Friends",2022,"Mickey and Minnie's Camping Trip",2,103,17.99,24.99,34.99,19.99,5702017152363,,20.4,18.9,7.3,0.277,"",0,0,0,,0,0,,,,,,,,,17.0700,,"01/06/2022","31/12/2023"
"41443-1","Friends","Traffic",2021,"Olivia's Electric Car",2,183,12.99,14.99,19.99,14.99,5702016914801,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,12.0100,11.0000,"01/01/2021","31/12/2023"
"60323-1","City","Great Vehicles",2022,"Stunt Plane",1,59,8.99,9.99,13.99,9.99,5702017116921,,15.7,14.1,6.1,0.132,"",0,0,0,,0,0,,,,,,,,,9.1000,,"01/01/2022","31/12/2023"
"60382-1","City","Traffic",2023,"Vet Van Rescue",2,58,8.99,9.99,13.99,9.99,5702017399812,,15.7,14.1,4.5,0.126,"",0,0,0,,0,0,,,,,,,,,10.2300,,"01/01/2023","31/12/2023"
"60325-1","City","Great Vehicles",2022,"Cement Mixer Truck",2,85,17.99,19.99,24.99,19.99,5702017161556,,26.2,19.1,4.6,0.325,"",0,0,0,,0,0,,,,,,,,,16.8100,,"01/01/2022","31/12/2023"
"76943-1","Jurassic World","Dominion",2022,"Pteranodon Chase",2,94,17.99,19.99,24.99,19.99,5702016913422,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,14.9200,,"17/04/2022","31/12/2023"
"41704-1","Friends","Heartlake City",2022,"Main Street Building",8,1682,139.99,159.99,199.99,159.99,5702017152752,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,128.6600,,"01/01/2022","31/12/2023"
"60316-1","City","Police",2022,"Police Station",5,668,59.99,69.99,89.99,64.99,5702017161914,,54,28.2,7.9,1.38,"",0,0,0,,0,0,,,,,,,,,42.8400,,"01/01/2022","31/12/2024"
"40619-1","BrickHeadz","Disney",2023,"EVE & WALL-E",,155,13.49,14.99,19.99,14.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71408-1","Super Mario","Expansion Set",2022,"Princess Peach's Castle",5,1216,114.99,129.99,169.99,129.99,5702017155289,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,108.6100,,"01/08/2022","31/07/2024"
"31126-1","Creator","3 in 1",2022,"Supersonic-jet",,215,17.99,19.99,24.99,19.99,5702017117447,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.2300,,"01/03/2022","31/12/2024"
"71760-1","Ninjago","Core",2022,"Jay's Thunder Dragon EVO",2,140,17.99,19.99,24.99,19.99,5702017117478,,20.5,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,18.7200,,"01/01/2022","31/12/2023"
"40639-1","Seasonal","Easter",2023,"Bird's Nest",,232,10.99,12.99,16.99,12.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.6100,,"01/02/2023","31/12/2024"
"21181-1","Minecraft","Minifig-scale",2022,"The Rabbit Ranch",2,340,29.99,34.99,44.99,34.99,5702017156606,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,22.0400,,"01/01/2022","31/12/2023"
"31139-1","Creator","3 in 1",2023,"Cozy House",,808,54.99,59.99,79.99,59.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76241-1","Marvel Super Heroes","Avengers",2023,"Hulk Mech Armor",1,138,12.99,14.99,19.99,14.99,,,14.1,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,12.7300,,"01/01/2023","31/12/2023"
"71769-1","Ninjago","Crystalized",2022,"Cole's Dragon Cruiser",4,384,39.99,44.99,54.99,44.99,5702017152011,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,39.0500,,"01/06/2022","31/12/2023"
"71404-1","Super Mario","Expansion Set",2022,"Goomba's Shoe",1,76,8.99,9.99,13.99,9.99,5702017155241,,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,8.3600,,"01/08/2022","31/07/2023"
"80032-1","Monkie Kid","Season 3",2022,"Chang'e Moon Cake Factory",3,609,44.99,69.99,89.99,49.99,5702017153759,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,63.3300,40.0000,"01/01/2022","31/12/2023"
"40622-1","BrickHeadz","Disney",2023,"Disney 100th Celebration",,501,39.99,39.99,49.99,39.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,53.6700,,"",""
"76242-1","Marvel Super Heroes","Avengers",2023,"Thanos Mech Armor",1,113,12.99,14.99,19.99,14.99,,,14.1,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,12.5700,,"01/01/2023","31/12/2023"
"60369-1","City","Police",2023,"Mobile Police Dog Training",2,197,17.99,29.99,39.99,19.99,5702017416298,,26.2,19.1,7.2,0.426,"",0,0,0,,0,0,,,,,,,,,16.5800,,"01/01/2023","31/12/2023"
"60320-1","City","Fire",2022,"Fire Station",5,540,54.99,69.99,89.99,59.99,5702017161518,,35.4,37.8,9.4,1.357,"",0,0,0,,0,0,,,,,,,,,47.8500,,"01/01/2022","31/12/2023"
"60354-1","City","Missions",2022,"Mars Spacecraft Exploration Missions",2,298,24.99,39.99,49.99,29.99,5702017189758,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,23.6800,20.0000,"01/06/2022","31/12/2023"
"40638-1","Seasonal","Valentine's Day",2023,"Heart Ornament",,254,10.99,12.99,16.99,12.99,,,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.8300,,"01/01/2023","31/12/2024"
"80008-1","Monkie Kid","A Hero is Born",2020,"Monkie Kid's Cloud Jet",4,529,44.99,59.99,74.99,49.99,5702016617627,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,40.8900,,"16/05/2020","31/12/2023"
"41711-1","Friends","Heartlake City",2022,"Emma's Art School",3,844,59.99,69.99,89.99,69.99,5702017155128,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,54.5000,,"01/06/2022","31/12/2023"
"31136-1","Creator","3 in 1",2023,"Exotic Parrot",,253,19.99,19.99,24.99,24.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76245-1","Marvel Super Heroes","Mechs",2023,"Ghost Rider Mech & Bike",,264,29.99,34.99,44.99,34.99,,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,27.4100,,"01/01/2023","31/12/2023"
"42154-1","Technic","Licensed",2023,"2022 Ford GT",,1466,104.99,119.99,149.99,119.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"40651-1","Creator","Postcard",2023,"Australia Postcard",,191,13.49,14.99,18.99,14.99,,,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,22.3900,,"01/01/2023","31/12/2025"
"71771-1","Ninjago","Crystalized",2022,"The Crystal King Temple",6,703,69.99,79.99,99.99,79.99,5702017152035,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,62.3700,51.4200,"01/06/2022","31/12/2023"
"51515-1","Mindstorms","",2020,"Robot Inventor",,949,314.99,359.99,459.99,359.99,5702016369861,673419304764,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,381.1700,272.8600,"15/10/2020","31/07/2023"
"31127-1","Creator","3 in 1",2022,"Street Racer",,258,17.99,19.99,24.99,19.99,5702017117430,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,16.4100,8.0000,"01/03/2022","31/12/2023"
"42144-1","Technic","",2022,"Material Handler",,835,104.99,149.99,199.99,119.99,5702017160818,,35.4,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,96.5100,80.5000,"01/08/2022","31/12/2023"
"10784-1","Marvel Super Heroes","Spidey and His Amazing Friends",2022,"Spider-Man Webquarters Hangout",5,155,44.99,49.99,64.99,49.99,5702017151670,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,43.5000,,"01/01/2022","31/12/2023"
"60342-1","City","Stuntz",2022,"The Shark Attack Stunt Challenge",3,122,17.99,34.99,44.99,19.99,5702017162119,,19.1,26.2,6.1,0.371,"",0,0,0,,0,0,,,,,,,,,14.9300,,"01/06/2022","31/12/2023"
"75577-1","Avatar","The Way of Water",2023,"Mako Submarine",4,553,49.99,59.99,79.99,54.99,,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,73.5500,,"01/01/2023","31/12/2024"
"10872-1","Duplo","Trains",2018,"Train Bridge and Tracks",1,26,19.99,24.99,29.99,24.99,5702016117240,673419284004,38.2,26.2,11.8,0.885,"",0,0,0,,0,0,,,,,,,,,19.7300,,"01/06/2018","31/07/2024"
"850808-1","Gear","Key Chains/Brick",2013,"Gold 2 x 4 Stud Key Chain",,,4.99,5.99,7.99,5.99,,673419199056,,,,0.01,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10780-1","Disney","Mickey and Friends",2022,"Mickey and Friends Castle Defenders",4,215,44.99,54.99,69.99,49.99,5702017153483,,38,26,5.5,0.677,"",0,0,0,,0,0,,,,,,,,,43.5100,,"01/06/2022","31/07/2023"
"42151-1","Technic","Licensed",2023,"Bugatti Bolide",,905,44.99,49.99,64.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.9800,,"",""
"75579-1","Avatar","The Way of Water",2023,"Payakan the Tulkun & Crabsuit",3,761,89.99,99.99,129.99,99.99,,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,85.2400,,"01/01/2023","31/12/2024"
"43187-1","Disney","Tangled",2020,"Rapunzel's Tower",2,369,59.99,64.99,84.99,64.99,5702016907803,,26.2,38.2,7.1,,"",0,0,0,,0,0,,,,,,,,,53.4400,45.0000,"01/09/2020","31/12/2023"
"71406-1","Super Mario","Expansion Set",2022,"Yoshi's Gift House",2,246,29.99,29.99,39.99,34.99,5702017155265,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,24.3200,,"01/08/2022","31/12/2023"
"60343-1","City","Great Vehicles",2022,"Rescue Helicopter Transporter",2,215,24.99,29.99,39.99,29.99,5702017161150,,35.4,19.1,9.1,0.552,"",0,0,0,,0,0,,,,,,,,,22.6500,13.6200,"01/01/2022","31/12/2023"
"60321-1","City","Fire",2022,"Fire Brigade",7,766,89.99,99.99,129.99,99.99,5702017161525,,48,37.8,9.4,1.784,"",0,0,0,,0,0,,,,,,,,,61.2100,,"01/01/2022","31/12/2023"
"43198-1","Disney","Frozen II",2022,"Anna's Castle Courtyard",1,74,8.99,9.99,13.99,9.99,5702017154282,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,8.1800,2.0000,"01/01/2022","31/12/2023"
"75575-1","Avatar","The Way of Water",2023,"Ilu Discovery",2,179,19.99,24.99,34.99,24.99,,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,21.1400,,"01/01/2023","31/12/2024"
"60356-1","City","Stuntz",2023,"Bear Stunt Bike",1,10,6.99,7.99,9.99,7.99,,,9.1,12.2,4.7,,"",0,0,0,,0,0,,,,,,,,,7.7800,,"01/01/2023","31/12/2023"
"60317-1","City","Police",2022,"Police Chase at the Bank",6,915,89.99,99.99,129.99,99.99,5702017161921,,47.8,37.4,9.3,1.8,"",0,0,0,,0,0,,,,,,,,,67.8300,,"01/01/2022","31/12/2023"
"10882-1","Duplo","Trains",2018,"Train Tracks",,23,17.99,19.99,24.99,19.99,5702016117288,673419284042,28.2,26.2,9.55,0.66,"",0,0,0,,0,0,,,,,,,,,16.4500,11.2700,"01/06/2018","31/07/2024"
"71762-1","Ninjago","Core",2022,"Kai's Fire Dragon EVO",3,204,24.99,34.99,44.99,29.99,5702017117249,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,25.1000,14.9100,"01/01/2022","31/07/2023"
"75576-1","Avatar","The Way of Water",2023,"Skimwing Adventure ",,259,29.99,34.99,44.99,34.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.3600,,"",""
"41697-1","Friends","Beach",2022,"Turtle Protection Vehicle",2,90,8.99,9.99,13.99,9.99,5702017152714,,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,8.4000,,"01/01/2022","31/12/2023"
"40535-1","Brick Sketches","Marvel Super Heroes",2022,"Iron Man",,200,14.99,16.99,19.99,16.99,5702017166889,,14.1,19.1,7.1,,"",0,0,0,,0,0,,,,,,,,,22.3200,8.0000,"01/04/2022","31/12/2022"
"88005-1","Powered Up","",2018,"Headlight Set",,1,8.99,9.99,11.99,9.99,,673419296366,,,,0.013,"",0,0,0,,0,0,,,,,,,,,12.9800,12.1900,"",""
"76220-1","DC Comics Super Heroes","Batman",2022,"Batman versus Harley Quinn",2,42,12.99,9.99,13.99,14.99,,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,13.0600,,"01/09/2022","31/12/2023"
"10299-1","Icons","Stadiums",2022,"Real Madrid - Santiago Bernabéu Stadium",,5876,344.99,399.99,499.99,399.99,5702017153179,,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,312.7700,,"01/03/2022","31/12/2023"
"42148-1","Technic","",2023,"Snow Groomer",,178,8.99,12.99,16.99,9.99,,,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,9.1900,,"01/01/2023","31/12/2024"
"71407-1","Super Mario","Expansion Set",2022,"Cat Peach Suit and Frozen Tower",3,494,59.99,79.99,99.99,69.99,5702017155272,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,61.0700,,"01/08/2022","31/07/2023"
"71773-1","Ninjago","Crystalized",2022,"Kai's Golden Dragon Raider ",7,624,89.99,89.99,119.99,99.99,5702017152059,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,74.2400,46.9700,"01/06/2022","31/07/2023"
"854124-1","Gear","Key Chains/Star Wars",2021,"The Mandalorian Keyring",,,4.99,5.99,7.99,5.99,,673419342957,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60318-1","City","Fire",2022,"Fire Helicopter",2,53,8.99,9.99,13.99,9.99,5702017161020,,15.7,14.1,4.5,0.13,"",0,0,0,,0,0,,,,,,,,,10.3300,,"01/01/2022","31/12/2023"
"60385-1","City","Great Vehicles",2023,"Construction Digger",2,148,17.99,19.99,24.99,19.99,5702017416403,,26.2,19.1,6.1,0.336,"",0,0,0,,0,0,,,,,,,,,16.2400,,"01/01/2023","31/12/2023"
"60315-1","City","Police",2022,"Police Mobile Command Truck",4,436,39.99,49.99,64.99,44.99,5702017161907,,38.2,26.2,7.1,0.802,"",0,0,0,,0,0,,,,,,,,,30.3700,,"01/01/2022","31/12/2023"
"76210-1","Marvel Super Heroes","Avengers: Age of Ultron",2022,"Hulkbuster",1,4049,474.99,549.99,699.99,549.99,,,48.3,37.8,25.7,,"",0,0,0,,0,0,,,,,,,,,593.0600,,"04/11/2022","31/12/2023"
"88009-1","Powered Up","",2018,"Hub",,1,44.99,49.99,69.99,49.99,,673419309097,,,,,"",0,0,0,,0,0,,,,,,,,,47.2100,47.5400,"",""
"41958-1","Dots","Extra Dots",2022,"Extra DOTS Series 7 - Sport",,115,3.49,3.99,4.99,3.99,5702017156279,,,,,,"",0,0,0,,0,0,,,,,,,,,3.7600,,"",""
"21185-1","Minecraft","Minifig-scale",2022,"The Nether Bastion",3,300,29.99,34.99,44.99,34.99,5702017156637,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,27.3300,,"01/06/2022","31/12/2023"
"854012-1","Gear","Magnets/Locations",2020,"London Magnet Build",,,,9.99,12.99,,,673419325035,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"21184-1","Minecraft","Minifig-scale",2022,"The Bakery",3,154,19.99,24.99,32.99,22.99,5702017156620,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.6600,,"01/06/2022","31/12/2023"
"71763-1","Ninjago","Core",2022,"Lloyd's Race Car EVO",3,279,24.99,34.99,44.99,29.99,5702017117232,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,22.7800,,"01/01/2022","31/12/2023"
"853449-1","Gear","Key Chains/Star Wars",2015,"Yoda Key Chain",,,4.99,5.99,7.99,5.99,673419254199,673419254199,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60388-1","City","Great Vehicles",2023,"Gaming Tournament Truck",4,344,39.99,39.99,49.99,44.99,5702017416434,,38.2,26.2,7.1,0.78,"",0,0,0,,0,0,,,,,,,,,33.3100,,"01/01/2023","31/12/2023"
"21188-1","Minecraft","Minifig-scale",2022,"The Llama Village",6,1252,114.99,129.99,169.99,129.99,5702017156699,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,105.0800,,"01/06/2022","31/12/2023"
"42147-1","Technic","",2023,"Dump Truck",,177,8.99,12.99,16.99,9.99,,,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,9.0500,,"01/01/2023","31/12/2024"
"43199-1","Disney","Frozen II",2022,"Elsa's Castle Courtyard",2,53,8.99,9.99,13.99,9.99,5702017154299,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,8.2500,,"01/01/2022","31/12/2023"
"80035-1","Monkie Kid","Season 3",2022,"Monkie Kid's Galactic Explorer",7,1356,89.99,129.99,169.99,99.99,5702017153162,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,88.9300,,"01/01/2022","31/12/2023"
"41950-1","Dots","Lots of Dots",2022,"Lots of DOTS - Lettering",,722,17.99,19.99,24.99,19.99,5702017156187,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,16.4400,,"01/03/2022","31/12/2023"
"75578-1","Avatar","The Way of Water",2023,"Metkayina Reef Home",,528,69.99,79.99,99.99,79.99,,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,66.6400,,"01/01/2023","31/12/2024"
"40179-1","Miscellaneous","",2016,"Personalised Mosaic Portrait",,4502,99.99,129.99,169.99,99.99,,673419276795,,,,,"",0,0,0,,0,0,,,,,,,,,98.4500,,"",""
"60358-1","City","Stuntz",2023,"Cyber Stunt Bike",1,13,6.99,7.99,9.99,7.99,,,9.1,12.2,4.7,,"",0,0,0,,0,0,,,,,,,,,7.7000,,"01/01/2023","31/12/2023"
"80034-1","Monkie Kid","Season 3",2022,"Nezha's Fire Ring",7,929,69.99,99.99,129.99,79.99,5702017153315,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,73.5900,5.0000,"01/01/2022","31/12/2023"
"60341-1","City","Stuntz",2022,"The Knockdown Stunt Challenge",2,117,17.99,34.99,44.99,19.99,5702017162102,,19.1,26.2,6.1,0.349,"",0,0,0,,0,0,,,,,,,,,16.3200,,"01/06/2022","31/12/2023"
"80044-1","Monkie Kid","Season 4",2023,"Monkie Kid's Team Hideout",6,1582,89.99,139.99,179.99,99.99,,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,136.8500,,"01/01/2023","31/12/2024"
"70690-1","Ninjago","Spinjitzu Ninja Training",2022,"Jay's Spinjitzu Ninja Training",1,25,8.99,9.99,13.99,9.99,5702017151977,,19,24,4,,"",0,0,0,,0,0,,,,,,,,,8.2300,,"01/03/2022","31/12/2022"
"76230-1","Marvel Super Heroes","Spider-Man",2022,"Venom Figure",,297,24.99,24.99,34.99,29.99,,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,21.3200,,"01/09/2022","31/12/2023"
"853433-1","Gear","Key Chains/Super Heroes",2012,"Wonder Woman Key Chain",,,4.99,5.99,7.99,5.99,673419254359,673419175050,,,,0.01,"",0,0,0,,0,0,,,,,,,,,,,"",""
"21189-1","Minecraft","Minifig-scale",2022,"The Skeleton Dungeon",4,364,24.99,34.99,44.99,29.99,5702017234328,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,24.0200,,"01/08/2022","31/12/2024"
"41712-1","Friends","Traffic",2022,"Recycling Truck",2,259,17.99,19.99,24.99,19.99,5702017154114,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,14.5200,13.7600,"01/06/2022","31/12/2023"
"71757-1","Ninjago","Core",2022,"Lloyd's Ninja Mech",2,57,8.99,9.99,13.99,9.99,5702017151618,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,9.6300,,"01/01/2022","31/12/2023"
"41951-1","Dots","Accessories",2022,"Message Board",,531,17.99,19.99,24.99,19.99,5702017155913,,28,22.5,5,,"",0,0,0,,0,0,,,,,,,,,16.2700,,"01/03/2022","31/12/2023"
"41717-1","Friends","General",2022,"Mia's Wildlife Rescue",3,430,44.99,49.99,64.99,49.99,5702017154923,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,40.3900,,"01/06/2022","31/12/2023"
"76226-1","Marvel Super Heroes","Spider-Man",2022,"Spider-Man Figure",,258,24.99,24.99,34.99,29.99,,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,21.7300,,"01/09/2022","31/12/2023"
"853571-1","Gear","Key Chains/Miscellaneous",2016,"Hot Dog Guy Key Chain",,,4.99,5.99,7.99,5.99,673419252379,673419252379,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"71409-1","Super Mario","Expansion Set",2022,"Big Spike's Cloudtop Challenge",3,540,59.99,69.99,89.99,69.99,5702017155296,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,49.0800,,"01/08/2022","31/07/2023"
"60389-1","City","Great Vehicles",2023,"Custom Car Garage",4,507,44.99,59.99,79.99,49.99,5702017416441,,48,28.2,6.1,0.815,"",0,0,0,,0,0,,,,,,,,,42.5000,,"01/01/2023","31/12/2024"
"41713-1","Friends","Science",2022,"Olivia's Space Academy",4,757,59.99,69.99,89.99,69.99,5702017154121,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,52.1000,,"01/05/2022","31/12/2023"
"10875-1","Duplo","Trains",2018,"Cargo Train",3,105,114.99,129.99,149.99,129.99,5702016117271,,57.5,47.3,11.5,2.864,"",0,0,0,,0,0,,,,,,,,,105.1700,95.0000,"01/06/2018","31/07/2024"
"11026-1","Classic","Baseplates",2022,"White Baseplate",,1,7.99,7.99,9.99,8.99,5702017185217,,,,,,"",0,0,0,,0,0,,,,,,,,,7.6900,3.9900,"",""
"43208-1","Disney","Disney Princess",2022,"Jasmine and Mulan's Adventure",2,176,39.99,44.99,59.99,44.99,5702017154350,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,30.6600,,"01/01/2022","31/12/2023"
"71785-1","Ninjago","Core",2023,"Jay's Titan Mech",6,794,69.99,79.99,99.99,79.99,,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,66.3300,,"01/01/2023","31/12/2024"
"76215-1","Marvel Super Heroes","Black Panther",2022,"Black Panther",,2961,299.99,349.99,449.99,349.99,,,37.8,48.3,25.7,,"",0,0,0,,0,0,,,,,,,,,270.8900,199.9900,"01/10/2022","31/12/2023"
"88011-1","Powered Up","",2019,"Train Motor",,7,12.99,13.99,17.99,13.99,,673419309110,,,,0.067,"",0,0,0,,0,0,,,,,,,,,18.4700,17.4100,"",""
"21183-1","Minecraft","Minifig-scale",2022,"The Training Grounds",3,534,59.99,79.99,99.99,64.99,5702017156613,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,46.5700,,"01/01/2022","31/12/2023"
"41732-1","Friends","Heartlake City",2023,"Downtown Flower and Design Stores",9,2010,139.99,159.99,219.99,159.99,,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,138.7600,,"01/01/2023","31/12/2023"
"31138-1","Creator","3 in 1",2023,"Beach Camper Van",,556,44.99,49.99,64.99,49.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"31207-1","Art","Miscellaneous",2022,"Floral Art",,2870,59.99,79.99,99.99,69.99,5702017153995,,27,38,7.4,,"",0,0,0,,0,0,,,,,,,,,54.3900,,"01/08/2022","31/12/2023"
"80045-1","Monkie Kid","Season 4",2023,"Monkey King Ultra Mech",6,1705,119.99,159.99,219.99,139.99,,,37.8,48,9.4,,"",0,0,0,,0,0,,,,,,,,,185.4600,,"01/01/2023","31/12/2024"
"76251-1","Marvel Super Heroes","Guardians of the Galaxy",2023,"Star-Lord's Helmet",,602,69.99,79.99,99.99,79.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"41706-1","Friends","Seasonal",2022,"Friends Advent Calendar",4,312,21.99,34.99,44.99,24.99,5702017155074,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,22.3800,,"01/09/2022","31/12/2022"
"11023-1","Classic","Baseplates",2022,"Green Baseplate",,1,7.99,7.99,9.99,8.99,5702017184265,,,,,,"",0,0,0,,0,0,,,,,,,,,7.1500,,"",""
"31206-1","Art","Music",2022,"The Rolling Stones",,1998,129.99,149.99,199.99,149.99,5702017153988,,32.2,38,21,,"",0,0,0,,0,0,,,,,,,,,104.8200,,"01/06/2022","31/12/2023"
"71412-1","Super Mario","Expansion Set",2022,"Big Bad Island",4,354,39.99,44.99,59.99,44.99,5702017229461,,35.4,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,32.1400,,"01/08/2022","31/07/2023"
